web_id,strasse_original,cleaned_strasse,plz,ort,beschreibung,has_comma,has_slash,has_range,multiple_numbers,multiple_streets,kept_text_after_number
938,,Am Eichgarten 15/Weverpromenade,12167,Berlin,"2014 Fassadensanierung, alle Spechtlöcher verschlossen Hinweis UNB 4.11.14

2012 3x Sperlinge Gebäude hinter dem Haus der Adresse Am Eichgarten 15: in Spechtlöchern der Fassadendämmung aus alten Beständen neu kartiert",0,0,0,0,0,0
329,,Aachener Str. 18,10713,Berlin,"an rechter Hausgrenze an Fallrohr-Befestigung/Mauer 2x Sperlinge 1x Höhe erste Etage, 1x über Fensterfront 2. Etage",0,0,0,0,0,0
132,,Aachener Str. 40,10713,Berlin,2005-07: 1x Mehlschwalben Balkon 2. Etage,0,0,0,0,0,0
1208,,Adolfstr. 1,12167,Berlin,"2021-01: insgesamt 8 Ersatzkästen für Mauersegler, teilweise mit 3, teilweise mit einer Nistmöglichkeit

2018-06: Gerüst

2014-07: Mauersegler 2 Ausflüge direkt unter der Dachrinne an der Seite zur Leydenallee; auch Rufe aus dem Bereich unter der Dachrinne gehört",0,0,0,0,0,0
1762,,"Afrikanische Str. 123/125, Möwensee-Schule",13351,Berlin,"Schulsanierung Möwensee-Grundschule

2020-05: Der Erweiterungsbau wurde fertiggestellt. Die Sporthalle dahinter ist noch im alten Zustand und es brüten wieder Sperlinge dort unter dem Dach (Kotspuren, Nistmaterial und Einflüge gesichtet).

2019-Sommer: Der neue Modulbau vor der Turnhalle ist so gut wie fertig. Die Turnhalle und das alte Schulgebäude sind noch unsaniert. Vermutlich wird in diesem Jahr nichts mehr gemacht, aber ich fahre dort mehrmals die Woche vorbei und bekomme Entwicklungen hier auch kurzfristig mit.

2019-04: Beginn der Bauarbeiten Schulerweiterungsbau; an Sporthalle Sperlingsniststättpen und zahlreiche Kotspuren entlang der Dachrinne (Fotos vorhanden), Nester z.B. oberhalb 2. Fenster von links, Sperlingseinflüge in die Dachrinne und Jungvogelfütterung auf Wandvorsprüngen beobachtet; evtl. Niststätten auch am Hauptgebäude, zahlreiche Sperlingsanflüge auf Dach und Fenster gesichtet (Verdacht auf weitere Niststätten)
Wand Hauptgebäude mit Rankpflanzen bewachsen (weiterer Verdacht auf Niststätten)",0,0,0,0,0,0
1451,,Ahornstr. 16,12163,Berlin,"2015-06: 4x Sperlinge verteilt unter Dachrinne, Mauersegleranflüge hofseitig",0,0,0,0,0,0
1450,,Ahornstr. 20,12163,Berlin,"2013 zahlreiche Sperlinge am Haus, In Mauernischen und Verblendungen an Balkonen und Mauerabschlüssen, überall am Haus, auch an der Hofseite.
Mauersegler-Anflüge hofseitig und an Straßenfront, vor allem an linker Hausseite, dort an den obersten Verblendungen",0,0,0,0,0,0
135,,Ahornstr. 26,12163,Berlin,"2012: Rechts von Haustür 1x Mauersegler, sonst Sperlinge verteilt unter Dachrinne.
2005: altes Hinterhaus, Front zur Ahornstr. (man kann diese Stelle von Nr. 26, da gibt es offenen Hofdurchgang, sehen) 1x Mauersegler in Loch über Fallrohr
Hier auch sehr viele Anflüge, an die Dachrinnenbereiche oder Brandmauern, Hausnr. 25 und 26",0,0,0,0,0,0
134,,Ahornstr. 27,12163,Berlin,"2021-05: Sperlinge in Ersatzkästen

2005: Eckhaus zur Passage Ahornstr/Zimmermannstr.
hat mehrere Mauerseglerkästen unter Dach, Einflug 1x gesehen bei erstem Kasten rechts von Ecke (Ahornstr. direkt)",0,0,0,0,0,0
936,,Ahornstr. 30/31,12163,Berlin,"2012 an Hausgrenze zur Nr. 31 Sperlinge oben am Dach, Mauer defekt, Hausgrenze zur 31, sonst viele Sperlinge am Haus (Haus ist im Durchgang Zimmermann-Ahornstr.)",0,0,0,0,0,0
937,,Ahornstr. 31,12163,Berlin,"2012 Rückseite des Hauses, erreichbar durch kleinen Eingang zum Hof siehe Skizze, unter Dachrinne 2x Sperlinge, Mauersegleranflüge. 
Eingang zum Durchgang Hausnr. 32 Fassadenbegrünung",0,0,0,0,0,0
1449,,Ahornstr. 32,12163,Berlin,2015 In Fassadenbegrünung und am Haus auch sonst zahlreich Sperlinge und Grünfinken,0,0,0,0,0,0
797,,Ahrweiler Str. 10/Markobrunner Str.,14197,Berlin,2011-09 Sperlinge an der Hausecke unter der Dachrinne,0,0,0,0,0,0
917,,Ahrweiler Str. 19 a,14197,Berlin,2012 Sperlinge links von Haustür unter der Dachrinne,0,0,0,0,0,0
798,,Ahrweiler Str. 25 c,14197,Berlin,"2011-06 links von Haustür unter Dachrinne 1x Sperlinge, Mauersegleranflüge",0,0,0,0,0,0
799,,Ahrweiler Str. 26,14197,Berlin,2011-06 3x Sperlinge unter Dachrinne,0,0,0,0,0,0
1440,,Ahrweiler Str. 29,14197,Berlin,"2021-06: Hausecke links zur Wiesbadener Straße hin, 2. Fenster von oben, links von Balkon, Einflug Sperling in Fensterverkleidung
Hausfassade wurde offenbar vor nicht allzu langer Zeit saniert, Fenster sehen noch ""alt"" aus

2014-07: Sperlinge rechte Hausseite, Ecke Fallrohr, in Linie rechte Ecke Balkonfront, außerdem Hofseite viele Anflüge Mauersegler",0,0,0,0,0,0
439,,Ahrweiler Str. 35,14197,Berlin,"an rechter Hausgrenze, wo Vorsprung in Wand übergeht in Dachrinne 1x Sperlinge",0,0,0,0,0,0
207,,"Akazienstr. 11-12, Hinterhofseite",10823,Berlin,"2006: Sichtung von der Gleditschstr. 80/80 a aus, das Nachbarhaus ist Gleditsch 80A, 1x Sperlinge Dachrinne Nähe Fallrohr, viele Mauersegleranflüge",0,0,0,0,0,0
161,,Akazienstr. 12,10823,Berlin,"2006: 1x Mauersegler: Position rechte Ecke über Balkon an linker Hausgrenze, dort unter Dachvorsprung längliche Öffnung",0,0,0,0,0,0
95,,Akazienstr. 24,10823,Berlin,"2005: Haus hat in Front zur Kreuzung eine abgeplattete Ecke mit 1 Fenster bzw. Balkon, über obersten Balkon unter Dach ist eine breite Holzverschalung, links geht aus der 
Holzverschalung ein Abflussrohr (kein Regenfallrohr) raus mit einem etwas größerem Loch, dort 1x Mauersegler",0,0,0,0,0,0
147,,Akazienstr. 25,10823,Berlin,"2006: direkt an der Grenze zur Akazienstr. 26 Fallrohr, dort am Fallrohr unter Dachrinne 1x Sperlinge",0,0,0,0,0,0
1578,,Akazienstr. 27,10823,Berlin,"2016: Hof, einsehbar in Akazienhöfen, Seitenflügel rechts von nr. 27 Buddha-Haus, 2x Sperlinge unter Dachrinne, viele Mauersegleranflüge",0,0,0,0,0,0
1543,,Akazienstr. 29,10823,Berlin,2016: 1x Sperlinge rechte Hausseite unter unterer Dachrinne über 4.Etage,0,0,0,0,0,0
1542,,Akazienstr. 30,10823,Berlin,"2016: 2x Sperlinge in Jalousiekästen 4. Etage, sowie 1x Sperlinge unter Dachrinne rechte Hausseite",0,0,0,0,0,0
313,,Albertstr. 6,10827,Berlin,"2007: Von Albertstr. 6 kommt man in einen sich über verschiedene Häuser erstreckenden Hof, teilweise links fabrikartiges Gelände, Häuser gehören dann zur Feurig- bzw. Ebersstr. – da konnte ich die Zugehörigkeit nicht gut feststellen – siehe Skizze
4x Sperlinge in Brandmauer-Löchern siehe Skizze, 3x Sperlinge unter Dachrinne verteilt links am Backsteinbau, siehe Skizze
Viele Mauersegler unterwegs.",0,0,0,0,0,0
1616,,Alboinplatz 17 / Eythstr.,12105,Berlin,"2019 Online-Formular: Ca 12 Löcher in der Fassade werden von Haussperlingen genutzt. Ich habe auch Fotos gemacht, auf denen die Nutzung klar zu erkennen ist. 

2017 Hauswand Alboinplatz sowie zur Eythstr. hin, zahlreiche Spechtlöcher in der Fassade die von Sperlingen bewohnt werden: > 8 ",0,0,0,0,0,0
733,,Albrechtstr. 113,12167,Berlin,"2014 Abriß des gesamten Hauses und damit Verlust der Niststätte!

2011 Fledermaus: Einflug gesichtet! Hofseitig, 1. OG linkes Fenser, linke obere Fensterecke in kleinem Spalt zwischen den Klinkersteinen; Gebäudeteil steht senkrecht zur Albrechtstr.",0,0,0,0,0,0
676,,Albrechtstr. 114,12167,Berlin,"2012
Sanierung, als Ersatzmaßnahme: Nichtverschluß. Die meisten, ggf. sogar sämtliche Niststätten wurden gut wieder angenommen!

2010
Gebäudeteil zum 1. und 2. Hinterhof (von Tankstelle nebenan aus einzusehen), 2. Hinterhof: mind. 3 Plätze mit Einflügen; 1. Hinterhof: mind 5 Plätze mit zahlreichen Einflügen, Fledermauseinflug am Nachbarhaus Nr. 113 (s. separaten Eintrag).

aus alten Nabu-Meldungen: 3x Regenrinne und Umgebung am Gartenhaus",0,0,0,0,0,0
945,,Albrechtstr. 12/Schützenstr. 54,12167,Berlin,"2012 direkt über Haustür über Fenster 2. Etage hinter Stuck Mauersegler, linke Hausgrenze zur 13 linke Fensterfront Stuck 2. Etage Mauersegler, dito 1. Etage Sperlinge, Sperlinge zahlreich in Stuck über Fenstern, Fledermausausflug! Positon konnte ich nicht genau sehen.",0,0,0,0,0,0
1481,,Albrechtstr. 123,12165,Berlin,"02-2016 erneut Sperlingseinflüge
Sperlingseinflug unter Ziegelverkleidung in Dachgaube, rechte Seite",0,0,0,0,0,0
731,,Albrechtstr. 131/Hermann-Ehlers-Platz,12165,Berlin,"2014: wie in Vorjahren

2013: an Hermann-Ehlers-Platz Richtg. Schloßstr. zahlreiche Sperlinge am Haus, an Verblendungen, Dach, Jalousiekästen

2011-05: Sperlinge 4x in Jalousiekästen 2. Etage",0,0,0,0,0,0
1442,,Albrechtstr. 136,12165,Berlin,Sperlinge unter Dachzieglen und in Holzkonstruktion,0,0,0,0,0,0
672,,Albrechtstr. 14/14 a,12167,Berlin,"2015: Nr. 14 a (Eingang Seitenstraße der Albrechtstr.): Einflüge Sperlinge 3. OG Balkon und rechts unter Dach
2014: zusätzlich Sperlingseinflug an bestehender Einrüstung unter einen Dachziegel am Haus Nr. 14  an der Ecke zur Hausnummer 14 a am 20.11.14
2010: Sperlinge direkt am Fallrohr in Mauerwerksnische",0,0,0,0,0,0
1003,,Albrechtstr. 30-32,12167,Berlin,2013 Es halten sich überall Sperlinge auf. Fledermaus hofseitig an 31.,0,0,0,0,0,0
1002,,Albrechtstr. 31,12167,Berlin,2013 Fledermaus Hofseitig unter Dachrinne Richtung Hausgrenze 32,0,0,0,0,0,0
1585,,"Albrechtstr. 5-10, Haltestelle Siemens-/Halskestr., Hofseite Liliencro",12165,Berlin,"2009: Albrechtstr. 5-10 (Haltestelle Siemens-/Halskestr) Hofseite des Hauses Liliencronstr.
mind. 1 Niststätte (Einflüge 26.6.09 sowie Anflüge gesichtet)// Nr. 5: mittig unterm Dachvorsprung, Nr. 6: rechts, Nr. 9: mittig, Nr. 10: zum Regenrohr hin, Nr. 8 zum Regenrohr hin",0,0,0,0,0,0
589,,Albrechtstr. 5/Reinhardtstr. 23,10117,Berlin,"2010 Eckhaus, Sperlinge überall unter Metallverblendungen, zum Beispiel am Fenster der ersten Etage 2x, in Front zur Albrechtstr.",0,0,0,0,0,0
708,,Albrechtstr. 58,12167,Berlin,"2010-07: Mauersegler linker Erker, rechte Ecke unter Regenrinne",0,0,0,0,0,0
652,,Albrechtstr. 59,12167,Berlin,"2018: Kleines Fenster: 1 Brutpaar, 2 Jungtiere; Großes Fenster: Einflüge sowie ein frisches Segler-Ei (auf dem Fensterbrett gefunden)
2015: 1 Brutpaar
2011: 1 Brutpaar (aus Ersatzmaßnahme 2007) von ursprünglich 3 Brutpaaren
Gebäuderückseite vom Teltowkanalweg einsehbar (kl. Fenster li. neben Balkon)
2006: 3x Mauersegler",0,0,0,0,0,0
699,,Albrechtstr. 64,12167,Berlin,"05-2016: erneute erfolglose Anflugsversuche von Sperlingen und Mauersegelern!

Kontrolle Stand 30.06.2015: Sämtliche Niststätten der Mauersegler verloren! Nur noch 2 Sperlingsnester hofseitig, an der Hauswand zum Nachbargebäude und unter der Verblendung des Fensters im Dachaufbau (diese Stellen waren von den Sanierungsmaßnahmen nicht betroffen. 

2015: Sanierung im November, Erneuerung der Dachrinnen. UNB informiert.

2014 2x Mauersegler wie in Vorjahren, Sperlinge am Haus 

2011: Einflug Mauersegler  Dachaufbau über Terrasse links oben unter der Regenrinne, neben dem Jalousiekasten

2009: Mauersegler rechts an Regenrinne",0,0,0,0,0,0
1470,,Albrechtstr. 65,12167,Berlin,2015-06: 2 Sperlingsnester im Dachbereich unter den Ziegeln in Dachrinnennähe. 1x an Gebäudeecke zur Borstellstr. hin und 1x auf Seiten der Albrechtstr. auf Höhe des rechten Balkons in der Dachniesche.,0,0,0,0,0,0
827,,Albrechtstr. 68,12167,Berlin,"Mauersegler, keine Beschreibung, alte Aufzeichnung",0,0,0,0,0,0
828,,Albrechtstr. 76,12167,Berlin,"alte Aufzeichnung von 2004 Mehlschwalben an drei Balkonen, Grünfinken ebenfalls ansässig",0,0,0,0,0,0
1455,,Albrechtstr. 79 + 79a,12167,Berlin,Einflüge hinter dem Fallrohr der Regenrinne,0,0,0,0,0,0
706,,"Albrechtstr. 81, Ev. Gemeindehaus Markus",12167,Berlin,"2010: Mauersegler treppen-förmige Traufe rechts, unterste Kante
ev. weiterer Einflug zweite ""Treppe"", nicht genau erkennbar, 4x im Flug (Park!)",0,0,0,0,0,0
1468,,Albrechtstr. 83,12167,Berlin,"Mehrere Sperlingsnester im Dahbereich unter den Ziegeln sowie in den Nieschen. 
Mauersegler sehr wahrscheinlich: Rettungsaktion eines fehlgelandeten Mauerseglers aus der dortigen Regenrinne!",0,0,0,0,0,0
1620,,Albrechtstraße 95,12167,Berlin,"Sperlingseinflüge unter Dachrinne, linke Gebäudeseite an der Ecke zur Eliesenstr. (dort sind Putzschäden erkennbar), Anflüge auch an weiteren Stellen der Dachrinne.
Ggf. auch von Mauerseglern genutzt.",0,0,0,0,0,0
1879,,"Alfred-Jung-Str. 19, Schule am Fennpfuhl",10369,Berlin,"Sanierung: Schule am Fennpfuhl, Förderschule am Fennpfuhl

2018-05: Ersatznisthilfen an Seitenfronten Hauptgebäude, Niststätten HS und Blaumeise an Sporthalle
",0,0,0,0,0,0
1388,,Allmendeweg 83 - 123,13509,Berlin,"div. Ersatzmaßnahmen nach Sanierung: Schweglerkästen für Mauersegler und Fledermäuse
",0,0,0,0,0,0
167,,Alsenstr. 8/Feuerbachstr.,12163,Berlin,"2016: bestätigt
2011: 3x Sperlinge: 1x an der defekten Ziegelverkleidung Höhe dritte Etage, links von Haustür, sowie 2x Sperlinge unter Dachrinne Bereich über Haustür und etwas links.
2011 neu Mauersegler vorn in Richtung Brücke am Rundvorbau Ziegelübergang Dach 3. Etage links Mauersegler, daneben Sperlinge, an 2. Etage Fallrohr-Mauer Sperlinge
2006: 2x Sperlinge unter Dachrinne links vom Erker, auch hier viele MS-Anflüge",0,0,0,0,0,0
1739,,"Alt-Britz 49 / circa, da Hausnummer nicht angegeben",12359,Berlin,"2018: sog.""Altneubauten"" mit Rauhputz und Dachrinnenstruktur, am Giebel Ziegelabschluss, dort rechts 2x Sperlinge, Sperlinge halten sich zahlreich auf der Dachrinne auf, Reviergesang.",0,0,0,0,0,0
1740,,Alt-Britz 91,12359,Berlin,"2018: sog.""Altneubauten"" mit Rauhputz und Dachrinnenstruktur, Sperlinge an Ziegelabschluss/Dachrinne 3x,  Sperlinge halten sich zahlreich auf der Dachrinne auf, Reviergesang.",0,0,0,0,0,0
1737,,Alt-Britz 97,12359,Berlin,"2018: sog.""Altneubauten"" mit Rauhputz und Dachrinnenstruktur, 2x Sperlinge in Lüfungsschlitzen, Trauf defekt, hier auch Sperlinge, Sperlinge halten sich zahlreich auf der Dachrinne auf, Reviergesang.",0,0,0,0,0,0
1738,,Alt-Britz 99,12359,Berlin,"2018: sog.""Altneubauten"" mit Rauhputz und Dachrinnenstruktur, mehrere Sperlinge in Lüfungsschlitzen, Sperlinge halten sich zahlreich auf der Dachrinne auf, Reviergesang.
",0,0,0,0,0,0
653,,Alt-Lankwitz 77/78,12247,Berlin,"2021-06: Kontrolle Altdaten: die Schwalbennester sind leider nicht mehr vorhanden (Fotos vorhanden)

2009-07: Mehlschwalben 2 Nester + div. angefangene Nester",0,0,0,0,0,0
1212,,Alt-Lankwitz 82,12247,Berlin,2012 Sperling auf dem Dach zwischen den Ziegeln links des Erkerfensters,0,0,0,0,0,0
756,,Alt-Lankwitz 88,12247,Berlin,2011 Sperlinge: 1 Nistplatz + Einflug seitliche Dachkante linke Gebäudeseitenwand unter der Metallverblendung in der vorderen Ecke seitlich zur Straße,0,0,0,0,0,0
1234,,Alt-Lankwitz 94,12247,Berlin,2014 2x Mauersegler an Spitzdachnische. ,0,0,0,0,0,0
1294,,Alt-Lübars 12,13469,Berlin,2014: am alten Schulhaus viele Sperlinge,0,0,0,0,0,0
494,,"Alt-Mariendorf 43, Rückseite Rudolf-Hildebrandt-Grundschule",12107,Berlin,"2009-06: Links neben mittleren Pausenhofausgang 2x Mauersegler unter Dachrinne, dazu viele Anflüge an anderen Stellen",0,0,0,0,0,0
886,,Alt-Moabit 92,10559,Berlin,"2011 Mauersegler Einflug unter der Dachrinne des Vorbaus, strassenseitig",0,0,0,0,0,0
1678,,"Alt-Tempelhof 53-57, Schule am Berlinickeplatz",12103,Berlin,"Schule am Berlinickeplatz (ISS und Abendschule; Nachkriegsbau)

05-18: Sporthalle: einige Nester (wahrscheinlich Haussperlinge, Foto 3), an der Hausfront der Schule Nester und Kotspuren (ebenso wie in Kastanie und Esche vor der Schule, Foto 4-6), wahrscheinlich Haussperlinge, Ostfassade: überwiegend mit Wein bewachsen, nicht zugänglich
",0,0,0,0,0,0
1626,,Altmarkstraße 26,12169,Berlin,Sperlingeinflüge in 2 unterschiedliche Nieschen unter Dachrinne hin zum Nachbargebäude (s. Foto). Nieschen deutlich erkennbar.,0,0,0,0,0,0
103,,Alvenslebenstr. 12-12 a/Kulmer Str.,10783,Berlin,"2012: dito Vorjahre
2010: Segler wie Skizze von 2005, Sperlinge viele verteilt
2007: wie unten, weitere Sperlingspaare, Segler ges. 8 Einflugstellen
2005: 5 Mauersegler und 2 Sperlinge, alle unter einer Dachverblendung, die nach unten auf die Hauswand gezogen ist, Position laut Skizze
(so ähnlich wie Cunostr.--Niststätten)",0,0,0,0,0,0
107,,Alvenslebenstr. 25,10783,Berlin,"2015: wie in 2005, zusätzlich 1x Sperlinge am Holztrauf in Linie Eingangstür sowie an gleicher Position auf linker Seite
2005: 2x Sperlinge, am seitlichen Giebel an der Hausgrenze zur Nr. 24 (1x am Schonstein in Giebelverkleidung, 1x ca. in Mitte Giebel Straßenseite unter Giebelverblendung)",0,0,0,0,0,0
1508,,Alvenslebenstr. 26,10783,Berlin,"2015 4x Sperlinge verteilt an Dachverblendung
",0,0,0,0,0,0
1507,,Alvenslebenstr. 4,10783,Berlin,"2015 am Stuck: 1x Mauersegler in Stuckrosette über letztem Fenster rechts 3. Etage, 2x Sperlinge in anderen Rosetten.",0,0,0,0,0,0
1875,,"Am Breiten Luch 19 und 17, Schule am Breiten Luch",13053,Berlin,"Schule Am Breiten Luch (Grundschule, Sekundarschule, Förderschule)

2018-05:
Haupt-Schulgebäude Nr.19: Haussperlinge am Hauptgebäude, Ersatzkästen am HG
Mehrzweckgebäude Nr. 17: keine Sperlinge und Mauersegler am Mehrzweckgebäude festgestellt",0,0,0,0,0,0
677,,Am Eichgarten 14,12167,Berlin,2010-06: Mauersegler: 2 Einflüge + insgesamt 4 Einflugspuren an der Ecke zur kleinen Seitenstraße,0,0,0,0,0,0
1527,,Am Eichgarten 15/16a/Weverpromenade,12167,Berlin,"2016-03: 4 Ersatznistkästen sind angebracht.

2015-10: keine Ersatzmaßnahmen ersichtlich!

2014: Fassadensanierung! Nistplätze verschlossen.
Sperlinge in 3 Spechtlöchern der Fassadendämmung.",0,0,0,0,0,0
1622,,Am Eichgarten 15a,12167,Berlin,2017-04: Neubau! Zwischen dem Neubaugebäude (rechte Gebäudeseite) und dem Nachbargebäude in Mauerwerksniesche (gut erkennbar) nahe Dachrinne Sperlingseinflug mit Nistmaterial.,0,0,0,0,0,0
939,,Am Fenn 8,12167,Berlin,"2012: in Altdaten wurden Mauersegler und Sperlinge angegeben, in 2012, unter Dachkante deutlich Nistmaterial und Kostspuren erkennbar, Nähe Fallrohr (Foto vorhanden)

2012-05: Nest an li. Hauswand unterm Dach, direkt auf einem Stück Regenrinne, daneben deutliche Kotspuren als Hinweis für weitere Nistplätze in Nischen - was für ein Nest",0,0,0,0,0,0
1112,,Am Fenn 23-24,12167,Berlin,"2021-03: Sanierung geplant (?)
2013-06: Sperlinge mehrere Einflüge unter Dach",0,0,0,0,0,0
400,,Am Großen Wannsee 26,14109,Berlin,an rechter Hausseite unter Dachrinne 1x Sperlinge,0,0,0,0,0,0
399,,Am Großen Wannsee 28-30,14109,Berlin,"Über Parterre Verschalung, dort 2x darunter Sperlinge",0,0,0,0,0,0
596,,"Am Tempelhofer Berg 8, Hofseite Mehringdamm 95-97",10965,Berlin,"2010-06: zur Position: Häuser liegen gegenüber des Hauses Nr. 8 Am Tempelhofer Berg. Auf der Straßenseite mit den hier angegebenen Einflügen gibt es keine Hausnummern, die Häuser sind die Rückfronten der Häuser zum Mehringdamm. Es gibt ab und zu Hintereingänge. Etliche Sperlinge und an der rechten Hausseite an einem kaputten Dachteil 1x Mauersegler, dürfte zur Nr. 95 gehören.",0,0,0,0,0,0
1392,,Am Tierpark 125/Tierpark,10319,Berlin,"2021-04: Ersatzkästen (Mauerseglerkästen) an der westlichen Gebäudeseite des Giraffenhaus

2015 Rauchschwalbennester: im Dickhäuterhaus des Tierparks, im Futtergang, im Ostteil des Hauses",0,0,0,0,0,0
1391,,Am Tierpark 49,10319,Berlin,"2020-07 (Meldung): 2 x Aufzucht Haussperlinge an der rechten Giebelseite von der Straße aus gesehen. Einflüge genau an den Hauskanten, offensichtlich unter die 1. Ziegelreihe, beobachtet.
Straßenseite am Balkon 2.Stock Reste eines Schwalbennestes, sieht aber nicht abgeschlagen aus, da auch der Kot noch sichtbar ist.",0,0,0,0,0,0
594,,Amsterdamer Str. 13,13347,Berlin,"2010 siehe Malplaquetstr. 25 - Skizze, Zugang in den Hof von dort",0,0,0,0,0,0
1772,,Amsterdamer Str. 7,13347,Berlin,"2019-04 Dachausbau Hinterhaus (Altbau) Das Nest ist an der südlichen Gebäudeseite des Hinterhauses, mitten in den Mauersteinen, dort sind auch andere Löcher und möglicherweise auch Nester
Südwand Hintergebäude über dem 4. Stock. Innenwand im Dachgeschoss (s. Meldebogen): Ein- und Ausflüge, Jungvögel hörbar",0,0,0,0,0,0
1842,,"An den Achterhöfen 13, Christoph-Ruden-Grundschule",12349,Berlin,"Schulsanierung: Christoph-Ruden-Grundschule

2019-08: Bild 1 An der Südseite des Schulgebäudes ein angebrachter Nistkasten für 3 Nester-einer mit sichtbaren Nistmaterial.
Bild 2 Innenhof Schulgebäude Südwestliche Richtung unter der Metallverwahrung des Flachdaches sichtbares Nistmaterial von mindestens 4 Nestern. Warscheinlich Haussperlingen.Über Seiteneingang mit Kunstplastik.
Fotos stehen zur Verfügung",0,0,0,0,0,0
610,,An der Dorfkirche 1,12277,Berlin,"2010 Sperlinge überall unter den Dachrinnen und Ziegeln, viele Einflüge",0,0,0,0,0,0
1878,,"Anton-Saefkow-Platz 5, Sporthalle",10369,Berlin,"Sporthalle am Anton-Saefkow-Platz

2018-05: Sperlinge und Stare mehrmals am Gebäude suchend gesehen, auch mit Nistmaterial. Sperlinge in angrenzendem Buschwerk. Kein Gutachter. Der zuständige Leiter will zwei Nistkästen anbringen.
",0,0,0,0,0,0
590,,Antwerpener Str. 8/Brüsseler Str. 43,13353,Berlin,"2010 Meldung von Anwohnern, Vorortbesichtigung, in Front zu Brüsseler Str.: Über dem Balkon oberster Etage in Mauerloch unter Dach 1x Mauersegler, dann noch zwischen Ecke und Balkon ebenfalls in Mauerlöchern dicht nebeneinander 2x Mauersegler, in Front zur Antwerpener Str. ebenfalls 1x Mauersegler und viele Sperlinge. Nach Angaben der Leute gibt es auch ab Herbst Einflüge von Fledermäusen in Löcher an der Ecke des Hauses // Fotos einmal vom Balkon aus und von unten",0,0,0,0,0,0
478,,Apostel-Paulus-Str. 18/Salzburger Str. 9,10825,Berlin,"2021-05: Fassadenbegrünung, Haussperlinge, Amseln, Stare, Stieglitze; konkretes Sperlingsnest am Eck-Erker Straßenkreuzungen, 2. Stock, rechtes Fenster, oben in Mauerspalt (Foto vom Nest)

2009-06: Fassadenbegrünung, darin viele Sperlinge und 1x Grünfink gesehen",0,0,0,0,0,0
309,,Apostel-Paulus-Str. 40,10823,Berlin,"2007: 1x Mauersegler im Stuck: Fenster an linker Hausgrenze, 2. Etage",0,0,0,0,0,0
891,,Archivstr. 3 a/Peter-Lenné-Str.,14195,Berlin,"2012 1x Sperlinge unter Dachrinne Ecke, weitere Brutspuren links und rechts von Ecke",0,0,0,0,0,0
